Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	03/17/17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+					
yes	yes	yes	yes	no	108	Makena/Wailea	NMS	LY	DB_JD	BS_DC	KCP	KCP240124		Cove Park	2024-01-24	7:53	4	2	6	4	8					KCP240124	24.7	35.3	6.91	101.4	8.07	6.81	6.95	6.80	6.85	0.012				N	0	5	0	Heavy rain last 2 weeks from 1/8-1/10 & 1/15-1/17. 4 split nutrient samples were collected and evenly distributed: 2 to SOEST and 2 to UHMC WQ Lab. 4th turbidity - 6.80. Kona wind, large waves, 5 people on beach, 2 dogs.				
yes	yes	yes	no	no	108	Makena/Wailea	NMS	LY	DB_JD	BS_DC	MMB	MMB240124		S Maluaka Beach	2024-01-24	8:50	4	2	6	4	8					MMB240124	25.2	36.2	6.94	103.2	8.11	8.41	7.89	7.46	7.92	0.060				N	0	0	0	Heavy rain last 2 weeks from 1/8-1/10 & 1/15-1/17. Large shorebreak, several feet of beach erosion, lava rock exposed in several former sandy sites, 4th turbidity - 8.41.				
yes	yes	yes	no	no	108	Makena/Wailea	NMS	LY	DB_JD	BS_DC	MAN	MAN240124		Ahihi North	2024-01-24	9:12	4	2	6	4	8					MAN240124	25.0	36.0	7.12	105.0	8.10	4.75	5.40	4.58	4.91	0.088				N	0	0	0	Heavy rain last 2 weeks from 1/8-1/10 & 1/15-1/17. High surf, waves hitting road. 				
yes	yes	yes	no	no	108	Makena/Wailea	NMS	LY	DB_JD	BS_DC	MAS	MAS240124		Ahihi South	2024-01-24	9:28	4	2	6	4	8					MAS240124	25.2	36.0	6.99	103.4	8.11	10.80	11.40	11.80	11.33	0.044				N	1	4	0	Heavy rain last 2 weeks from 1/8-1/10 & 1/15-1/17. High surf, did 4th turbidity 11.8.				
yes	yes	yes	no	no	109	Makena/Wailea	NMS	LY	DB	DC_JD	WUL	WUL240214		Ulua Beach	2024-02-14	8:32	3	5	5	3	7					WUL240214	24.7	35.9	6.86	100.3	8.14	6.17	6.31	6.36	6.28	0.016				N	0	0	0	Beach erosion, light rain while collecting sample, full cloud cover.				
yes	yes	yes	no	no	109	Makena/Wailea	NMS	LY	DB	DC_JD	WPL	WPL240214		Palau'ea Beach	2024-02-14	8:52	3	5	5	3	7					WPL240214	25.1	36.2	6.74	99.4	8.15	1.28	1.47	1.16	1.30	0.120				N	0	3	0	Beach erosion, rocks exposed and algae growth visible, 4th turbidity 1.47.				
yes	yes	yes	no	no	109	Makena/Wailea	NMS	LY	DB	DC_JD	MMB	MMB240214		S Maluaka Beach	2024-02-14	9:18	3	5	5	3	7					MMB240214	24.8	36.0	6.71	98.7	8.17	1.18	1.01	1.14	1.11	0.080				N	0	0	0	Beach erosion, light rain before collection, partly cloudy, no wind.				
yes	yes	yes	no	no	109	Makena/Wailea	NMS	LY	DB	DC_JD	MAN	MAN240214		Ahihi North	2024-02-14	9:45	3	5	5	3	7					MAN240214	25.0	36.1	6.67	98.5	8.07	1.15	1.17	0.97	1.10	0.100				N	0	3	0	Some beach erosion, partial clouds, no rain, DO % saturation lower than usual.				
yes	yes	yes	no	no	109	Makena/Wailea	NMS	LY	DB	DC_JD	MAS	MAS240214		Ahihi South	2024-02-14	10:05	3	5	5	3	7					MAS240214	25.3	35.9	6.62	98.2	8.10	0.78	0.60	0.70	0.69	0.130				N	5	9	0	Major beach erosion, light wind, partial cloud cover, sunny.				
yes	yes	yes	no	no	110	Makena/Wailea	NMS	EJ	BS_PR	LKM_SH	WUL	WUL240306		Ulua Beach	2024-03-06	8:03	4	2	6	4	9					WUL240306	23.8	35.8	7.03	101.1	8.05	2.87	2.64	2.92	2.81	0.053				N	0	3	0	Sunny, partially cloudy, low tide 8:22 am; salinity probe reading high at all sites; ocean clarity is good; no wind; 0-0.5' shorebreak; 4th turbidity taken 3.54 NTU; 5th turbidity taken 2.87 NTU				
yes	yes	yes	no	no	110	Makena/Wailea	NMS	EJ	BS_PR	LKM_SH	WPL	WPL240306		Palau'ea Beach	2024-03-06	8:40	4	2	6	4	9					WPL240306	24.4	36.4	6.91	100.7	8.13	2.17	2.38	2.42	2.32	0.058				N	0	10	0	Sunny, partially cloudy, low tide 8:22 am; salinity probe reading high at all sites; 0-1' shorebreak; 4th turbidity taken 2.38 NTU; 5th turbidity taken 2.42 NTU; no wind				
yes	yes	yes	no	no	110	Makena/Wailea	NMS	EJ	BS_PR	LKM_SH	MMB	MMB240306		S Maluaka Beach	2024-03-06	9:14	4	2	6	4	9					MMB240306	24.5	36.4	6.93	101.1	8.12	0.98	0.86	0.98	0.94	0.074				N	1	11	0	Sunny, partially cloudy, low tide 8:22 am; salinity probe reading high at all sites; 0-1' shorebreak; clarity good; 4th turbidity taken 0.98 NTU; 5th turbidity taken 1.58 NTU				
yes	yes	yes	no	no	110	Makena/Wailea	NMS	EJ	BS_PR	LKM_SH	MAN	MAN240306		Ahihi North	2024-03-06	9:46	4	2	6	4	9					MAN240306	24.8	35.4	8.12	118.2	8.08	1.97	1.96	2.48	2.14	0.139				N	4	0	0	Sunny, partially cloudy, low tide 8:22 am; salinity probe reading high at all sites; light wind; more cloud cover; 0-0.5' shorebreak; 4th turbidity taken 2.53 NTU; 5th turbidity taken 1.97 NTU				
yes	yes	yes	no	no	110	Makena/Wailea	NMS	EJ	BS_PR	LKM_SH	MAS	MAS240306		Ahihi South	2024-03-06	10:16	4	2	6	4	9					MAS240306	24.6	35.4	6.89	100.2	8.05	1.28	1.74	1.30	1.44	0.181				N	2	27	0	Sunny, partially cloudy, low tide 8:22 am; salinity probe reading high at all sites; calm; shorebreak 0-1.5'; wind increasing; less cloudy				
yes	yes	yes	no	no	111	Makena/Wailea	NMS	LY	BS	JD_PR	WUL	WUL240327		Ulua Beach	2024-03-27	8:02	3	5	5	3	7					WUL240327	24.5	35.9	6.99	101.8	8.11	3.77	3.52	3.93	3.74	0.055				N	5	20	0	Low tide at 10:57 AM, Near high tide, Appeared clear, 4th turbidity = 3.52				
yes	yes	yes	no	no	111	Makena/Wailea	NMS	LY	BS	JD_PR	WPL	WPL240327		Palau'ea Beach	2024-03-27	8:32	3	5	5	3	7					WPL240327	24.8	36.0	7.06	103.3	8.14	3.04	3.44	3.63	3.37	0.089				N	0	3	0	Low tide at 10:57 AM, turtle on beach, brown water shorebreak, 4th turbidity. = 2.87				
yes	yes	yes	no	no	111	Makena/Wailea	NMS	LY	BS	JD_PR	MMB	MMB240327		S Maluaka Beach	2024-03-27	9:02	3	5	5	3	7					MMB240327	24.9	35.7	6.99	102.5	8.15	1.16	1.19	1.12	1.16	0.030				N	0	7	0	Low tide at 10:57 AM, sandy brown water shorebreak ~1', much of the sand on the beach has replenished from recent erosion, 4th turbidity = 1.62, 5th turbidity = 1.19. 				
yes	yes	yes	no	no	111	Makena/Wailea	NMS	LY	BS	JD_PR	MAN	MAN240327		Ahihi North	2024-03-27	9:28	3	5	5	3	7					MAN240327	24.3	35.9	7.29	105.7	8.11	1.39	1.54	1.32	1.42	0.079				N	2	10	0	Low tide at 10:57 AM, overcast skies, 4th turbidity = 1.54				
yes	yes	yes	no	no	111	Makena/Wailea	NMS	LY	BS	JD_PR	MAS	MAS240327		Ahihi South	2024-03-27	9:55	3	5	5	3	7					MAS240327	24.2	35.2	7.08	102.2	8.09	3.82	3.59	3.73	3.71	0.031				N	4	10	0	Low tide at 10:57 AM, light rain, overcast, 4th turbidity = 3.73				
yes	yes	yes	no	no	112	Makena/Wailea	NMS	LY	DC	JD_PR	WUL	WUL240417		Ulua Beach	2024-04-17	8:00	4	2	5	4	10					WUL240417	24.3	36.4	6.92	100.6	8.08	3.12	2.61	2.92	2.88	0.089				N	6	8	0	Rained Sunday night / Monday. Small shorebreak. No wind. Sunny. pH probe 5 = 8.08, pH probe 6 = 8.00, using pH probe 5 today. 4th turbidity reading = 3.12				
yes	yes	yes	no	no	112	Makena/Wailea	NMS	LY	DC	JD_PR	WPL	WPL240417		Palau'ea Beach	2024-04-17	8:25	4	2	5	4	10					WPL240417	24.7	36.6	6.89	101.3	8.12	2.53	2.65	2.29	2.49	0.074				N	0	0	0	Rained Sunday night / Monday. Standing puddle by road/beach entrance. ~3ft shorebreak. Brown + sandy shorebreak, but clear water 5-8ft out from shoreline. Light breeze. Sunny. 4th turbidity reading = 2.29. 				
yes	yes	yes	no	no	112	Makena/Wailea	NMS	LY	DC	JD_PR	MMB	MMB240417		S Maluaka Beach	2024-04-17	8:58	4	2	5	4	10					MMB240417	24.8	36.5	6.69	99.0	8.10	1.16	1.72	1.24	1.37	0.221				N	4	15	0	Rained Sunday night / Monday. Light breeze. Sunny. Brown, sandy shorebreak. 1-2ft waves. 				
yes	yes	yes	no	no	112	Makena/Wailea	NMS	LY	DC	JD_PR	MAN	MAN240417		Ahihi North	2024-04-17	9:23	4	2	5	4	10					MAN240417	24.4	36.6	7.16	104.9	8.08	2.61	2.53	2.19	2.44	0.091				N	4	0	0	Rained Sunday night / Monday. Water appears clear. Light breeze. Few clouds. Sunny. 4th turbidity reading = 2.61. 5th turbidity reading = 2.19. 				
yes	yes	yes	no	no	112	Makena/Wailea	NMS	LY	DC	JD_PR	MAS	MAS240417		Ahihi South	2024-04-17	9:43	4	2	5	4	10					MAS240417	24.8	36.6	6.85	101.0	8.06	1.08	1.14	1.35	1.19	0.119				N	5	12	0	Rained Sunday night / Monday. Low tide. Light breeze. Few clouds. Sunny, hot. 4th turbidity reading = 1.35.				
yes	yes	yes	no	no	113	Makena/Wailea	NMS	LY	JD_DC	PR_JS	WUL	WUL240508		Ulua Beach	2024-05-08	7:52	3	5	5	3	7					WUL240508	25.1	35.1	6.94	101.6	8.07	4.77	5.44	5.11	5.11	0.066				N	4	7	0	Low tide = 9:20 am, calm water, no wind, small shorebreak, 4th turbidity =4.65, 5th turbidity = 4.77, sunny				
yes	yes	yes	no	no	113	Makena/Wailea	NMS	LY	JD_DC	PR_JS	WPL	WPL240508		Palau'ea Beach	2024-05-08	8:16	3	5	5	3	7					WPL240508	25.4	35.7	6.80	100.9	8.11	1.86	2.60	2.43	2.30	0.169				N	0	2	0	Low tide = 9:20 am, clear skies, 4 foot breaker, sunny, 4th turbidity = 1.86, 5th turbidity = 2.60				
yes	yes	yes	no	no	113	Makena/Wailea	NMS	LY	JD_DC	PR_JS	MMB	MMB240508		S Maluaka Beach	2024-05-08	8:40	3	5	5	3	7					MMB240508	25.5	35.0	6.86	101.6	8.10	1.53	1.65	1.27	1.48	0.131				N	6	13	0	Low tide = 9:20 am,clear skies, no wind, 4th turbidity = 1.53				
yes	yes	yes	no	no	113	Makena/Wailea	NMS	LY	JD_DC	PR_JS	MAN	MAN240508		Ahihi North	2024-05-08	9:03	3	5	5	3	7					MAN240508	25.3	35.7	7.33	108.5	8.08	4.31	3.82	4.25	4.13	0.065				N	0	1	0	Low tide = 9:20 am, partly cloudy, murky shorebreak, not as clear in the water as usual, Read DO, temp & salinity 2x and values are conistsent, 4th turbidity= 5.20, 5th turbidity = 4.31				
yes	yes	yes	no	no	113	Makena/Wailea	NMS	LY	JD_DC	PR_JS	MAS	MAS240508		Ahihi South	2024-05-08	9:22	3	5	5	3	7					MAS240508	25.0	35.1	6.76	99.4	8.03	4.09	4.56	4.78	4.48	0.079				N	1	5	0	Low tide = 9:20 am, partly cloudy, low shorebreak, appears to be low tide, 4th turbidity = 4.56, 5th turbidity = 4.78, not as clear in the water as usual				
yes	yes	yes	no	no	114	Makena/Wailea	NMS	LY_JD	DC_PR	BS_JS	WUL	WUL240529		Ulua Beach	2024-05-29	7:58	4	2	6	4	10					WUL240529	25.9	35.9	6.73	100.1	8.00	14.90	18.20	16.70	16.60	0.100				N	6	7	0	Low tide = 3:44 am and High tide = 9:53 am; calm ocean, low & rising tide, clear skies, low wind, 4th turbidity = 14.9, 5th turbidity = 20.1, sand in the shorebreak at sample site, plant debris in the turbidity sample				
yes	yes	yes	no	no	114	Makena/Wailea	NMS	JD	DC_PR	BS_JS	WPL	WPL240529		Palau'ea Beach	2024-05-29	8:23	4	2	6	4	10					WPL240529	26.1	36.0	6.64	99.3	8.02	1.40	1.30	1.14	1.28	0.102				N	0	4	0	Low tide = 3:44 am and High tide = 9:53 am; calm seas, low wind, low shorebreak				
yes	yes	yes	no	no	114	Makena/Wailea	NMS	JD	DC_PR	BS_JS	MMB	MMB240529		S Maluaka Beach	2024-05-29	8:43	4	2	6	4	10					MMB240529	26.1	35.4	6.64	99.6	8.03	0.94	1.20	1.09	1.08	0.121				N	2	6	0	Low tide = 3:44 am and High tide = 9:53 am; calm seas, low wind, low shorebreak, 50% cloud cover				
yes	yes	yes	no	no	114	Makena/Wailea	NMS	JD	DC_PR	BS_JS	MAN	MAN240529		Ahihi North	2024-05-29	9:04	4	2	6	4	10					MAN240529	25.3	36.1	7.19	100.3	8.05	0.95	1.05	1.07	1.02	0.063				N	0	4	0	Low tide = 3:44 am and High tide = 9:53 am; calm seas, light wind, 50% cloud cover				
yes	yes	yes	no	no	114	Makena/Wailea	NMS	JD	DC_PR	BS_JS	MAS	MAS240529		Ahihi South	2024-05-29	9:21	4	2	6	4	10					MAS240529	25.4	35.8	6.84	101.3	8.07	0.84	0.91	1.02	0.92	0.098				N	7	12	0	Low tide = 3:44 am and High tide = 9:53 am; calm seas, light wind, 50% cloud cover, 4th turbidity = 1.02				
yes	yes	yes	no	no	115	Makena/Wailea	NMS	CK	JD	BS_DC	WUL	WUL240619		Ulua Beach	2024-06-19	7:50	3	5	5	3	7					WUL240619	26.0	35.3	6.49	96.4	8.04	5.30	4.54	5.28	5.04	0.086				N	5	15	0	Sunny, hot. No wind. Lots of divers out today. Calm, flat water. 4th turbidity reading = 5.28.				
yes	yes	yes	no	no	115	Makena/Wailea	NMS	CK	JD	BS_DC	WPL	WPL240619		Palau'ea Beach	2024-06-19	8:12	3	5	5	3	7					WPL240619	26.2	35.9	6.72	100.7	8.14	0.49	0.61	0.61	0.57	0.122				N	0	4	0	Calm, small waves. Sunny, hot. No wind. 				
yes	yes	yes	no	no	115	Makena/Wailea	NMS	CK	JD	BS_DC	MMB	MMB240619		S Maluaka Beach	2024-06-19	8:34	3	5	5	3	7					MMB240619	26.3	35.3	6.60	99.0	8.11	0.56	0.53	0.53	0.54	0.032				N	1	10	0	Calm, small waves. Warm, sunny. No wind.				
yes	yes	yes	no	no	115	Makena/Wailea	NMS	CK	JD	BS_DC	MAN	MAN240619		Ahihi North	2024-06-19	8:56	3	5	5	3	7					MAN240619	25.9	34.9	7.87	117.1	8.07	2.67	2.19	2.37	2.41	0.101				N	2	6	0	Calm and clear. Light breeze / no wind. Sunny, hot. Read DO 2nd time, same values. 4th turbidity reading = 2.37.				
yes	yes	yes	no	no	115	Makena/Wailea	NMS	CK	JD	BS_DC	MAS	MAS240619		Ahihi South	2024-06-19	9:16	3	5	5	3	7					MAS240619	26.0	35.8	6.76	101.3	8.08	0.83	1.08	0.85	0.92	0.151				N	4	20	0	Lots of people on beach. Calm. Light breeze / no wind. Sunny, hot. 4th turbidity reading = 0.83. 				
yes	yes	yes	no	no	116	Makena/Wailea	NMS	CK	JD	BS_PR	WUL	WUL240710		Ulua Beach	2024-07-10	7:55	4	2	7	4	10					WUL240710	26.0	35.9	6.65	99.6	8.09	4.19	4.25	3.92	4.12	0.043				N	11	10	0	20% cloud cover. Dog in the water 100ft to the right. Sunny. No wind. Calm water. Lots of suspended floating particulates (looks like fine sand). 4th turbidity reading = 2.70. 5th turbidity reading = 2.68. 6th turbidity reading = 4.25. 7th turbidity reading = 3.92. 8th turbidity reading = 2.36.				
yes	yes	yes	no	no	116	Makena/Wailea	NMS	CK	JD	BS_PR	WPL	WPL240710		Palau'ea Beach	2024-07-10	8:20	4	2	7	4	10					WPL240710	26.3	36.2	6.61	99.5	8.11	0.75	1.04	0.78	0.86	0.186				N	0	2	0	1-2ft shorebreak. No wind. Calm water. Sunny. 4th turbidity reading = 0.75. 5th turbidity reading = 0.78.				
yes	yes	yes	no	no	116	Makena/Wailea	NMS	CK	JD	BS_PR	MMB	MMB240710		S Maluaka Beach	2024-07-10	8:44	4	2	7	4	10					MMB240710	26.7	36.1	6.52	99.0	8.10	0.61	0.50	0.53	0.55	0.104				N	13	14	0	Light wind. 1-2ft surf. 40% cloud cover. Sunny. Calm water. 				
yes	yes	yes	no	no	116	Makena/Wailea	NMS	CK	JD	BS_PR	MAN	MAN240710		Ahihi North	2024-07-10	9:06	4	2	7	4	10					MAN240710	26.1	36.0	6.80	102.4	8.06	1.02	0.96	0.93	0.97	0.047				N	0	0	0	70% cloud cover. 1-2ft swell. Light sprinkle. Calm water. Very light breeze. 4th turbidity reading = 1.02. 5th turbidity reading = 1.26. 6th turbidity reading = 0.96. 				
yes	yes	yes	no	no	116	Makena/Wailea	NMS	CK	JD	BS_PR	MAS	MAS240710		Ahihi South	2024-07-10	9:26	4	2	7	4	10					MAS240710	26.2	36.0	6.61	99.8	8.07	0.65	0.62	0.76	0.68	0.109				N	6	20	0	60% cloud cover. Light breeze. 1-2ft swell. Sunny, hot. Calm water. Snorkeler was wading out of the water as samplers went it. 4th turbidity reading = 0.62.				
yes	yes	yes	no	no	117	Makena/Wailea	NMS	CK	DC	BS_PR	WUL	WUL240731		Ulua Beach	2024-07-31	7:53	3	5	5	3	10					WUL240731	25.7	35.0	6.35	93.8	8.07	3.55	3.31	3.19	3.35	0.055				N	9	8	0	*Multimeter #3 / DO probe #3 - DO salinity correction set to manual 35.0 ppt. Turbidity Blank read = 0.09, 0.10. Used Turbidity Blank Spare today = 0.08. Flat, calm water. No wind. Sunny, hot. 				
yes	yes	yes	no	no	117	Makena/Wailea	NMS	CK	DC	BS_PR	WPL	WPL240731		Palau'ea Beach	2024-07-31	8:15	3	5	5	3	10					WPL240731	26.0	35.1	6.56	97.4	8.15	2.25	1.83	2.07	2.05	0.103				N	0	0	4	*Multimeter #3 / DO probe #3 - DO salinity correction set to manual 35.0 ppt. Some sort of camp out in bushes. Someone fishing on the rocks to the south. Calm, clear water. Sunny, hot. Flat, calm water. No wind. 4th turbidity reading = 2.25. 5th turbidity reading = 2.07. 				
yes	yes	yes	no	no	117	Makena/Wailea	NMS	CK	DC	BS_PR	MMB	MMB240731		S Maluaka Beach	2024-07-31	8:39	3	5	5	3	10					MMB240731	26.2	35.1	6.50	97.2	8.13	0.80	0.86	0.91	0.86	0.064				N	7	6	0	*Multimeter #3 / DO probe #3 - DO salinity correction set to manual 35.0 ppt. People snorkeling. Small waves. Sunny, hot. Calm water, flat. No wind. 				
yes	yes	yes	no	no	117	Makena/Wailea	NMS	CK	DC	BS_PR	MAN	MAN240731		Ahihi North	2024-07-31	9:02	3	5	5	3	10					MAN240731	26.1	35.0	7.49	111.8	8.09	1.42	1.77	1.47	1.55	0.122				N	4	6	0	*Multimeter #3 / DO probe #3 - DO salinity correction set to manual 35.0 ppt. Group of snorkelers at beach. Sunny, hot. Few clouds. Flat, calm water. No wind. Clear water.				
yes	yes	yes	no	no	117	Makena/Wailea	NMS	CK	DC	BS_PR	MAS	MAS240731		Ahihi South	2024-07-31	9:17	3	5	5	3	10					MAS240731	26.1	35.4	6.73	100.5	8.08	1.02	1.03	0.92	0.99	0.061				N	6	15	0	*Multimeter #3 / DO probe #3 - DO salinity correction set to manual 35.0 ppt. Lots of people getting in/out of water. A bit surgy. Sunny, hot. Few clouds. Flat, calm water. No wind. 				
yes	yes	yes	no	no	118	Makena/Wailea	NMS	CK	BS	PR	WUL	WUL240821		Ulua Beach	2024-08-21	8:00	4	2	8	4	10					WUL240821	27.0	35.5	6.63	100.4	8.09	1.28	1.47	1.32	1.36	0.074				N	3	17	0	Kayakers & SUPers on beach ready to go out. 2 snorkelers in water. 5+ snorkelers on beach. 2-3ft waves. Shorebreak. No wind. Sunny. Calm water. Clear water. 4th turbidity reading = 1.72. 5th turbidity reading = 1.28.				
yes	yes	yes	no	no	118	Makena/Wailea	NMS	CK	BS	PR	WPL	WPL240821		Palau'ea Beach	2024-08-21	8:20	4	2	8	4	10					WPL240821	27.2	35.6	6.54	99.4	8.10	3.36	3.72	3.41	3.50	0.056				N	0	6	0	Warm water warning on Aqualink (27-28C), bleaching thershold is 28C+. 2 fishermen on the rocks to the south ~300ft. 2-3ft swell/shorebreak. No wind. Sunny. Calm water. Clear water. 4th turbidity reading = 3.72.				
yes	yes	yes	no	no	118	Makena/Wailea	NMS	CK	BS	PR	MMB	MMB240821		S Maluaka Beach	2024-08-21	8:45	4	2	8	4	10					MMB240821	27.5	35.6	6.55	100.1	8.13	1.22	1.22	1.15	1.20	0.034				N	4	10	0	Warm water warning on Aqualink (27-28C), bleaching thershold is 28C+. 1ft shorebreak. 2 snorkelers 100ft out. No wind. Calm water. Sunny. Clear water. 				
yes	yes	yes	no	no	118	Makena/Wailea	NMS	CK	BS	PR	MAN	MAN240821		Ahihi North	2024-08-21	9:08	4	2	8	4	10					MAN240821	27.2	35.5	7.18	109.3	8.10	2.39	2.40	2.47	2.42	0.018				N	0	0	0	Warm water warning on Aqualink (27-28C), bleaching thershold is 28C+. 1-2ft waves. Sunny. Clear water. Breeze from northeast trades. Water seems slightly cloudier than usual. Read DO 2x, values confirmed. 				
yes	yes	yes	no	no	118	Makena/Wailea	NMS	CK	BS	PR	MAS	MAS240821		Ahihi South	2024-08-21	9:30	4	2	8	4	10					MAS240821	27.2	35.2	6.62	100.8	8.09	1.15	1.06	1.21	1.14	0.066				N	1	2	0	Warm water warning on Aqualink (27-28C), bleaching thershold is 28C+. 3 snorkelers 300ft out. Breeze from trade winds. Wind-textured water. 1 swimmer coming from the north. 1-2ft shorebreak. Clear water. Sunny. 				
yes	yes	yes	no	no	119	Makena/Wailea	NMS	CK	BS	PR_RL	WUL	WUL240911		Ulua Beach	2024-09-11	7:55	3	5	5	3	11					WUL240911	26.8	36.6	6.44	98.3	8.10	1.26	1.30	1.21	1.26	0.036				N	6	5	0	Calm water. No wind. 0.5ft shorebreak. Sunny, hot. Clear water. Snorkelers nearby. People getting into the water. Rising tide. 				
yes	yes	yes	no	no	119	Makena/Wailea	NMS	CK	BS	PR_RL	WPL	WPL240911		Palau'ea Beach	2024-09-11	8:15	3	5	5	3	11					WPL240911	27.2	36.7	6.42	98.8	8.13	1.01	0.94	1.00	0.98	0.039				N	0	7	0	High tide, rising. Breezy from trades. Clam water. Pretty clear water. Sunny, hot. 4th turbidity reading = 1.00. 				
yes	yes	yes	no	no	119	Makena/Wailea	NMS	CK	BS	PR_RL	MMB	MMB240911		S Maluaka Beach	2024-09-11	8:40	3	5	5	3	11					MMB240911	27.2	36.7	6.42	98.9	8.12	0.72	0.72	0.74	0.73	0.016				N	2	9	0	Clear water. Light to no wind. Sunny, hot. <1ft shorebreak. Calm water. 				
yes	yes	yes	no	no	119	Makena/Wailea	NMS	CK	BS	PR_RL	MAN	MAN240911		Ahihi North	2024-09-11	9:05	3	5	5	3	11					MAN240911	26.7	36.4	6.45	98.5	8.03	1.07	1.02	0.96	1.02	0.054				N	8	4	0	Clear water. 7 snorkelers at sample site during and right before sampling. Snorkelers getting in and out of the water. Calm water. Light to no breeze from trades. 4th turbidity reading = 1.02. 5th turbidity reading = 1.07. Partly cloudy. 				
yes	yes	yes	no	no	119	Makena/Wailea	NMS	CK	BS	PR_RL	MAS	MAS240911		Ahihi South	2024-09-11	9:23	3	5	5	3	11					MAS240911	27.0	36.7	6.54	100.3	8.12	2.02	2.20	2.03	2.08	0.049				N	8	5	0	4 people right at the sample site. Partly cloudy. Light breeze from trades to no wind. Calm water. Clear water. 4th turbidity reading = 2.20. 				
yes	yes	yes	no	no	120	Makena/Wailea	NMS	CK	BS	PR	WUL	WUL241002		Ulua Beach	2024-10-02	7:55	4	2	8	4	10					WUL241002	26.9	35.9	6.43	97.6	8.08	2.68	2.52	2.68	2.63	0.035				N	11	22	0	Calm water. No wind. Sunny. Glassy water. Snorkelers. Pretty clear water. <1ft shorebreak. 4th turbidity reading = 2.18. 5th turbidity reading = 2.16. 6th turbidity reading = 2.68.				
yes	yes	yes	no	no	120	Makena/Wailea	NMS	CK	BS	PR	WPL	WPL241002		Palau'ea Beach	2024-10-02	8:17	4	2	8	4	10					WPL241002	27.1	35.9	6.36	97.0	8.07	2.28	2.41	2.34	2.34	0.028				N	1	1	0	Breezy south wind. Pretty clear water. 1ft shorebreak. Sunny. 4th turbidity reading = 2.34. 				
yes	yes	yes	no	no	120	Makena/Wailea	NMS	CK	BS	PR	MMB	MMB241002		S Maluaka Beach	2024-10-02	8:42	4	2	8	4	10					MMB241002	27.1	36.0	6.39	97.8	8.12	1.62	1.63	1.49	1.58	0.049				N	10	12	0	People playing in the shorebreak. Snorkelers. Sunny. Southwest breezy. 2ft shorebreak. Pretty clear. 4th turbidity reading = 1.95. 5th turbidity reading = 1.62.				
yes	yes	yes	no	no	120	Makena/Wailea	NMS	CK	BS	PR	MAN	MAN241002		Ahihi North	2024-10-02	9:05	4	2	8	4	10					MAN241002	27.1	36.1	6.98	106.7	8.11	1.93	1.74	1.99	1.89	0.069				N	0	0	0	Sunny. Light breeze to no wind. 1ft shorebreak. Very clear water. 2 snorkelers 50 yards out. Read DO 2x, confirmed values.				
yes	yes	yes	no	no	120	Makena/Wailea	NMS	CK	BS	PR	MAS	MAS241002		Ahihi South	2024-10-02	9:15	4	2	8	4	10					MAS241002	26.9	35.7	6.46	98.3	8.08	1.64	1.51	1.62	1.59	0.044				N	2	6	0	2 snorkelers leaving the water. 4 snorkelers to the north. 3 surfers at break. 3-4ft waves at break. Breeze from trades. 1ft shorebreak. Sunny. Clear water. 				
yes	yes	yes	no	no	121	Makena/Wailea	NMS	BS	DC	PR	WUL	WUL241023		Ulua Beach	2024-10-23	7:41	3	2	5	3	11					WUL241023	27.0	37.1	6.31	97.1		0.91	0.96	0.86	0.91	0.055				N	3	7	0	pH Values QA'ed out (probe malfuntion & no troubleshooting measure recorded). Cloudy. High tide. Small waves. 4th turbidity reading = 0.86.				
yes	yes	yes	no	no	121	Makena/Wailea	NMS	BS	DC	PR	WPL	WPL241023		Palau'ea Beach	2024-10-23	8:02	3	2	5	3	11					WPL241023	27.0	37.2	6.37	97.9	8.16	0.62	0.65	0.61	0.63	0.033				N	0	3	0	Cloudy. Small waves. Started to sprinkle. 				
yes	yes	yes	no	no	121	Makena/Wailea	NMS	BS	DC	PR	MMB	MMB241023		S Maluaka Beach	2024-10-23	8:22	3	2	5	3	11					MMB241023	27.0	37.3	6.38	98.3	8.18	0.60	0.59	0.59	0.59	0.010				N	0	1	0	Very calm. Few people. 				
yes	yes	yes	no	no	121	Makena/Wailea	NMS	BS	DC	PR	MAN	MAN241023		Ahihi North	2024-10-23	8:45	3	2	5	3	11					MAN241023	26.6	37.1	6.38	97.2	8.10	0.59	0.52	0.57	0.56	0.064				N	1	0	0	High tide. Small waves.				
yes	yes	yes	no	no	121	Makena/Wailea	NMS	BS	DC	PR	MAS	MAS241023		Ahihi South	2024-10-23	9:01	3	2	5	3	11					MAS241023	26.6	37.2	6.16	94.0		1.30	1.31	1.33	1.31	0.012				N	2	0	0	pH Values QA'ed out (probe malfuntion & no troubleshooting measure recorded). High tide. Small waves. Few people. 4th turbidity reading = 1.30.				
