Downloaded for distribution	Checked by QA	yes/no	yes/no	yes/no	#	R2RS, R2RN, Polanui, Olowalu	LLHS	initials	initials	initials	RCB	RCB031717	2062	Canoe Beach	2017-03-17	12:00											deg C	ppt	mg/L	%							MPN	0, 1, 2, 3, 4	0-8	0-5	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	0, 1, 5, 10, 20+	
		Nut_Sample	Nut_Dup	Sed_Sample	Session	Team	Lab	Sampler	Sampler2	Sampler3	Station	SampleID	Location	SiteName	Date	Time	40D/HQ2200#	2100Q#	pHInst#	DOInst#	SalInst#	Moon	Cloud_1_8	Rain_1_4	Wind_dir	SampleID2	Temp	Salinity	DO	DO%	pH	Turb1	Turb2	Turb3	Average Turbidity	CV Turbidity	Enterococcus (CFU) 	Waves	Wind	Stream	Swimmers	On Beach	Campers	Comments
yes	yes	yes	no	no	98	North Kihei	YK	AW	YMS	LY	NKC	NKC230608		Kihei Canoe Club	2023-06-08	9:35	4	2	6	2	4					NKC230608	26.6	35.0	6.52	98.6	8.13	12.30	12.3	13.20	12.60	0.041				N	1	40	0	dirty water, particles in NTU sample vile
yes	yes	yes	no	no	99	North Kihei	NMS	AW	YMS	AH	NMH	NMH230629		Maalaea Harbor	2023-06-29	7:44	3	3	5	1	5					NMH230629	24.8	33.1	6.15	90.1	8.11	1.92	1.75	1.57	1.75	0.100				N	0	0	0	pH and Do temp reading 24.8, salinity 33.8 breezy clear skies, light swell
yes	yes	yes	no	no	99	North Kihei	NMS	AW	YMS	AH	NMC	NMC230629		Maalaea Condos	2023-06-29	8:17	3	3	5	1	5					NMC230629	24.8	29.1	7.61	111.3	8.13	1.96	2.05	2.41	2.14	0.111				N	0	0	0	salinity probe reading temp is off, breezy, clear skies, light swell
yes	yes	yes	no	no	99	North Kihei	NMS	AW	YMS	AH	NHP	NHP230629		Haycraft Park	2023-06-29	8:37	3	3	5	1	5					NHP230629	25.4	33.2	6.69	98.7	8.12	5.70	5.45	5.02	5.39	0.064				N	2	0	5	extra NTU reading 4.55
yes	yes	yes	no	no	99	North Kihei	NMS	AW	YMS	AH	NKP	NKP230629		Kealia Pond	2023-06-29	9:02	3	3	5	1	5					NKP230629	25.9	31.9	6.71	100.1	8.18	1.20	1.19	1.02	1.14	0.089				N	1	2	0	breezy, 1ft swell, salinity probe taking long to read
yes	yes	yes	no	no	99	North Kihei	NMS	AW	YMS	AH	NKC	NKC230629		Kihei Canoe Club	2023-06-29	9:20	3	3	5	1	5					NKC230629	26.6	32.2	6.46	97.3	8.13	12.90	12.6	12.30	12.60	0.024				N	0	4	0	particals in turbidity sample vile. light breeze and swell
yes	yes	yes	no	no	100	North Kihei	NMS	AH	YMS	LY	NMH	NMH230720		Maalaea Harbor	2023-07-20	7:52	4	2	6	4	6					NMH230720	25.3	35.6	6.40	94.5	8.15	1.86	1.64	1.53	1.68	0.100				N	0	0	0	WINDY. cloudy, tour boats, salinity probe not reading correctly used temp value from DO and read salinity value 2x. Salinity temp was off by more than +/- .02
yes	yes	yes	no	no	100	North Kihei	NMS	AH	YMS	LY	NMC	NMC230720		Maalaea Condos	2023-07-20	8:37	4	2	6	4	6					NMC230720	25.4	34.4	7.57	111.7	8.11	2.34	2.56	1.98	2.29	0.128				N	0	0	0	windy, cloudy, tide going out, rained upcounty last night, tropical storm calvin DO read 2x 11.6, 4th NTU 2.34, small particale in vile
yes	yes	yes	no	no	100	North Kihei	NMS	AH	YMS	LY	NHP	NHP230720		Haycraft Park	2023-07-20	9:00	4	2	6	4	6					NHP230720	25.6	36.1	7.01	103.8	8.14	2.79	2.9	2.81	2.83	0.021				N	0	5	0	4th reading 3.36
yes	yes	yes	no	no	100	North Kihei	NMS	AH	YMS	LY	NKP	NKP230720		Kealia Pond	2023-07-20	9:30	4	2	6	4	6					NKP230720	26.1	36.5	7.04	105.5	8.19	1.99	1.45	2.01	1.82	0.175				N	1	0	0	very windy diver in water
yes	yes	yes	no	no	100	North Kihei	NMS	AH	YMS	LY	NKC	NKC230720		Kihei Canoe Club	2023-07-20	9:45	4	2	6	4	6					NKC230720	26.5	35.7	6.88	103.6	8.16	12.90	10.2	11.10	11.40	0.121				N	0	30	0	canoe club on shore going in and out of water, water is brown.
yes	yes	yes	no	no	101	North Kihei	NMS	LY_MS	YMS	AH	NMH	NMH230810		Maalaea Harbor	2023-08-10	8:10	3	5	5	3	7					NMH230810	25.3	34.9	6.32	92.7	8.14	2.41	2.78	2.37	2.52	0.090				N	0	0	0	gusty winds, light drizzle, brush & Lahaina fires since 8/09, 4th turb 2.37
yes	yes	yes	no	no	101	North Kihei	NMS	LY_MS	YMS	AH	NMC	NMC230810		Maalaea Condos	2023-08-10	8:40	3	5	5	3	7					NMC230810	25.7	34.7	7.12	105.3	8.14	8.39	8.23	9.11	8.58	0.055				N	0	0	0	sunny, gusty wind, high tide shorebreak at collection site
yes	yes	yes	no	no	101	North Kihei	NMS	LY_MS	YMS	AH	NHP	NHP230810		Haycraft Park	2023-08-10	9:10	3	5	5	3	7					NHP230810	25.9	35.8	6.82	101.8	8.2	5.93	6.6	5.65	6.06	0.081				N	4	5	0	sunny, gusting breeze, strong shorebreak w/high tide, sediment brown water, 4th turb 5.93
yes	yes	yes	no	no	101	North Kihei	NMS	LY_MS	YMS	AH	NKP	NKP230810		Kealia Pond	2023-08-10	9:38	3	5	5	3	7					NKP230810	26.3	36.2	6.76	101.8	8.17	2.79	2.97	2.88	2.88	0.031				N	0	0	0	sewage smell at beach, gusting wind, sunny, strong high tide shorebreak, 4th turb 2.79
yes	yes	yes	no	no	101	North Kihei	NMS	LY_MS	YMS	AH	NKC	NKC230810		Kihei Canoe Club	2023-08-10	9:58	3	5	5	3	7					NKC230810	26.4	35.6	6.63	99.9	8.16	12.20	11.4	11.50	11.70	0.037				N	0	2	0	sunny, gusting wind, high tide with strong deep shorebreak, sediment brown water
yes	yes	yes	no	no	102	North Kihei	NMS	AW	HB	CK	NMH	NMH230831		Maalaea Harbor	2023-08-31	7:55	4	2	6	4	8					NMH230831	24.8	35.4	6.63	97.1	8.06	1.78	2.03	1.81	1.87	0.073				N	0	0	0	sunny, windy, some wave chop
yes	yes	yes	no	no	102	North Kihei	NMS	AW	HB	CK	NMC	NMC230831		Maalaea Condos	2023-08-31	8:19	4	2	6	4	8					NMC230831	24.6	34.0	7.70	111.8	8.11	6.94	3.32	3.96	4.74	0.408				N	0	0	0	windy, partly cloudy
yes	yes	yes	no	no	102	North Kihei	NMS	AW	HB	CK	NHP	NHP230831		Haycraft Park	2023-08-31	8:39	4	2	6	4	8					NHP230831	25.2	35.6	7.23	106.6	8.12	3.05	2.7	2.71	2.82	0.071				N	0	1	0	light surf chop, partly cloudy
yes	yes	yes	no	no	102	North Kihei	NMS	AW	HB	CK	NKP	NKP230831		Kealia Pond	2023-08-31	9:00	4	2	6	4	8					NKP230831	25.5	35.7	7.03	104.5	8.14	1.25	0.85	1.03	1.04	0.192				N	0	1	0	windy, dust in air, smell like manure, swell 1 ft.
yes	yes	yes	no	no	102	North Kihei	NMS	AW	HB	CK	NKC	NKC230831		Kihei Canoe Club	2023-08-31	9:17	4	2	6	4	8					NKC230831	27.0	34.9	6.73	102.1	8.09	28.90	21.7	26.20	25.60	0.142				N	0	0	0	light wind, 1 ft swell, brown water at shoreline, sunny
yes	yes	yes	no	no	103	North Kihei	NMS	CK	AW	AH_HB	NMH	NMH230928		Maalaea Harbor	2023-09-28	7:50	3	5	5	3	7					NMH230928	25.4	35.5	6.10	89.9	8.11	1.25	1.09	1.38	1.24	0.117				N	0	0	0	no information given
yes	yes	yes	no	no	103	North Kihei	NMS	CK	AW	AH_HB	NMC	NMC230928		Maalaea Condos	2023-09-28	8:15	3	5	5	3	7					NMC230928	25.8	34.7	7.21	106.8	8.09	3.39	3.5	3.33	3.41	0.025				N	0	0	0	receding tide, poop in water at collection site, 2nd reading of DO recorded
yes	yes	yes	no	no	103	North Kihei	NMS	CK	AW	AH_HB	NHP	NHP230928		Haycraft Park	2023-09-28	8:40	3	5	5	3	7					NHP230928	25.9	35.4	6.90	102.9	8.11	5.81	5.45	5.68	5.65	0.032				N	2	0	0	construction in parking lot, lots of flies in park lot, waves, syringe broke-took 2nd nutrient sample
yes	yes	yes	no	no	103	North Kihei	NMS	CK	AW	AH_HB	NKP	NKP230928		Kealia Pond	2023-09-28	9:12	3	5	5	3	7					NKP230928	26.4	36.2	6.83	103.1	8.17	1.25	1.22	1.14	1.20	0.047				N	0	4	0	light breeze, waves, shorebreak at collection
yes	yes	yes	no	no	103	North Kihei	NMS	CK	AW	AH_HB	NKC	NKC230928		Kihei Canoe Club	2023-09-28	9:36	3	5	5	3	7					NKC230928	26.9	35.6	6.56	99.5	8.13	8.32	9.03	8.52	8.62	0.042				N	0	0	0	sunny, light breeze, waves at collection site, brownwater nearshore, particles in sample
yes	yes	yes	no	no	104	North Kihei	NMS	CK	AW	AH_HB	NMH	NMH231019		Maalaea Harbor	2023-10-19	7:50	4	2	6	4	8					NMH231019	26	35.4	6.38	95.0	8.08	1.63	1.93	1.58	1.71	0.110				N	0	0	0	windy, small swell
yes	yes	yes	no	no	104	North Kihei	NMS	CK	AW	AH_HB	NMC	NMC231019		Maalaea Condos	2023-10-19	8:10	4	2	6	4	8					NMC231019	25.9	35.5	6.80	101.5	8.02	5.33	5.49	5.51	5.44	0.018				N	0	0	0	very high waterline, turtle in water, 4th Turb: 4.48 & 5th Turb: 5.51
yes	yes	yes	no	no	104	North Kihei	NMS	CK	AW	AH_HB	NHP	NHP231019		Haycraft Park	2023-10-19	8:30	4	2	6	4	8					NHP231019	26.1	35.6	6.85	102.7	8.08	11.40	11.2	11.00	11.20	0.018				N	0	3	0	breezy, small swell, light brown water
yes	yes	yes	no	no	104	North Kihei	NMS	CK	AW	AH_HB	NKP	NKP231019		Kealia Pond	2023-10-19	8:55	4	2	6	4	8					NKP231019	26.3	36.1	6.88	103.8	8.14	1.11	1.12	0.96	1.06	0.084				N	1	5	0	light breeze, small swell, shorebreak
yes	yes	yes	no	no	104	North Kihei	NMS	CK	AW	AH_HB	NKC	NKC231019		Kihei Canoe Club	2023-10-19	9:15	4	2	6	4	8					NKC231019	26.7	35.7	6.77	102.6	8.11	7.65	7.6	8.11	7.79	0.036				N	0	0	0	breezy, small swell, brown water
yes	yes	yes	no	no	105	North Kihei	NMS	CK	AH	DG	NMH	NMH231109		Maalaea Harbor	2023-11-09	7:55	3	5	5	3	7					NMH231109	25.9	35.1	6.21	92.4	8.13	0.76	0.93	0.79	0.83	0.110				N	0	0	0	calm, little to no breeze, 4th Turb 0.76
yes	yes	yes	no	no	105	North Kihei	NMS	CK	AH	DG	NMC	NMC231109		Maalaea Condos	2023-11-09	8:20	3	5	5	3	7					NMC231109	25.6	34.2	6.75	99.6	8.02	3.77	3.74	4.02	3.84	0.040				N	0	0	0	low tide, standing water in drainage ditch, no flow to ocean, 4th Turb 3.77
yes	yes	yes	no	no	105	North Kihei	NMS	CK	AH	DG	NHP	NHP231109		Haycraft Park	2023-11-09	8:45	3	5	5	3	7					NHP231109	26.1	35.3	6.63	99.1	8.11	3.94	3.79	4.03	3.92	0.031				N	0	2	0	no wind, sunny, 4th Turb 3.94 & 5th Turb 3.79
yes	yes	yes	no	no	105	North Kihei	NMS	CK	AH	DG	NKP	NKP231109		Kealia Pond	2023-11-09	9:25	3	5	5	3	7					NKP231109	26.2	35.7	6.70	100.7	8.16	0.83	0.81	0.80	0.81	0.019				N	3	1	0	calm water, light breeze, pond magenta due to ultra high salinity & halo bacteria, 4th Turb 0.81
yes	yes	yes	no	no	105	North Kihei	NMS	CK	AH	DG	NKC	NKC231109		Kihei Canoe Club	2023-11-09	9:50	3	5	5	3	7					NKC231109	27.4	35.1	6.50	99.3	8.13	5.63	5.64	5.32	5.53	0.033				N	0	3	0	brown water at surface entry, more clear than normal after 5 ft entry, 4th Turb 5.32
yes	yes	yes	no	no	106	North Kihei	NMS	CK	EJ	AH_KG	NMH	NMH231130		Maalaea Harbor	2023-11-30	8:10	4	2	6	4	8					NMH231130	25.6	35.3	6.16	91.3	8.06	0.65	0.79	0.70	0.71	0.099				N	0	0	0	heavy rains last night, flash flood advisory for Maui County, cloud cover, current light sprinkle rain, high tide, 4th turbidity = 0.65
yes	yes	yes	no	no	106	North Kihei	NMS	CK	EJ	AH_KG	NMC	NMC231130		Maalaea Condos	2023-11-30	8:35	4	2	6	4	8					NMC231130	25.8	35.6	6.02	89.6	7.98	4.48	4.28	4.36	4.37	0.023				N	0	0	0	heavy rains last night, flash flood advisory for Maui County, cloud cover, currently raining, water collected in culvert but not flowing, low pH, rain previous night, particulates in turbidity sample
yes	yes	yes	no	no	106	North Kihei	NMS	CK	EJ	AH_KG	NHP	NHP231130		Haycraft Park	2023-11-30	9:02	4	2	6	4	8					NHP231130	25.7	35.7	6.64	98.7	8.07	5.59	5.79	5.50	5.63	0.026				N	0	0	0	heavy rains last night, flash flood advisory for Maui County, cloud cover, currently raining, parking lot construction finished, 4th turbidity reading = 5.59, 5th turbidity reading = 5.50
yes	yes	yes	no	no	106	North Kihei	NMS	CK	EJ	AH_KG	NKP	NKP231130		Kealia Pond	2023-11-30	9:27	4	2	6	4	8					NKP231130	25.1	35.9	6.91	101.6	8.11	0.94	1.02	0.93	0.96	0.051				N	0	2	0	heavy rains last night, flash flood advisory for Maui County, cloud cover, light breeze, rain stopped, small shorebreak, 4th turbidity reading = 0.80, 5th turbidity = 1.02
yes	yes	yes	no	no	106	North Kihei	NMS	CK	EJ	AH_KG	NKC	NKC231130		Kihei Canoe Club	2023-11-30	9:51	4	2	6	4	8					NKC231130	25.5	35.6	6.67	98.7	8.09	9.41	10.90	10.8	10.37	0.080				N	0	1	0	heavy rains last night, flash flood advisory for Maui County, cloud cover, light breeze, sprinkling rain, lots of particulate matter in sample, 4th turbidity reading = 8.62, 5th turbidity reading = 10.9, 6th turbidity reading = 9.41
yes	yes	yes	no	no	107	North Kihei	NMS	LY	CK	AH_DG	NMH	NMH231221		Maalaea Harbor	2023-12-21	7:55	3	5	5	3	7					NMH231221	23.4	35.3	6.37	90.9	8.13	1.24	1.02	1.16	1.14	0.098				N	0	0	0	Windy, boat departing right next to sample site.
yes	yes	yes	no	no	107	North Kihei	NMS	LY	CK	AH_DG	NMC	NMC231221		Maalaea Condos	2023-12-21	8:22	3	5	5	3	7					NMC231221	23.2	34.3	7.00	99.0	8.06	4.61	3.83	3.15	3.86	0.189				N	0	0	0	Some water in the culvert but not flowing, windy, calm ocean water, small waves out at break, algae in sample bucket and turbidity vial, 4th turbidity = 3.15, 5th turbidity = 4.61
yes	yes	yes	no	no	107	North Kihei	NMS	LY	CK	AH_DG	NHP	NHP231221		Haycraft Park	2023-12-21	8:45	3	5	5	3	7					NHP231221	23.7	35.6	6.73	96.6	8.12	5.28	4.94	5.40	5.21	0.046				N	0	4	0	~2' shorebreak, cloudy, windy, small floaters in turbidity vial, 4th turbidity = 4.94, 5th turbidity = 5.28
yes	yes	yes	no	no	107	North Kihei	NMS	LY	CK	AH_DG	NKP	NKP231221		Kealia Pond	2023-12-21	9:14	3	5	5	3	7					NKP231221	23.8	36.1	6.94	100.0	8.19	1.41	1.47	1.65	1.51	0.083				N	0	7	0	Getting windier, cloudy, calm, 4th turbidity = 1.65
yes	yes	yes	no	no	107	North Kihei	NMS	LY	CK	AH_DG	NKC	NKC231221		Kihei Canoe Club	2023-12-21	9:37	3	5	5	3	7					NKC231221	24.6	35.5	6.65	97.1	8.15	7.65	6.75	6.75	7.05	0.074				N	0	3	0	4th turbidity = 8.02, brown water at shoreline, cloudy, breezy.
yes	yes	yes	no	no	108	North Kihei	NMS	CK_LY	DG	KG_JW	NMH	NMH240125		Maalaea Harbor	2024-01-25	7:55	4	2	6	4	8					NMH240125	24.5	35.0	6.36	92.3	8.05	2.02	3.19	2.44	2.55	0.232				N	0	0	0	Heavy rain last 2 weeks from 1/8-1/10 & 1/15-1/17. Cloudy. Chilly wind coming from West. Waves coming over harbor breakwall. Light sprinkling rain as sample was collected. White thread-like floaters in turbidity vial. 
yes	yes	yes	no	no	108	North Kihei	NMS	CK_LY	DG	KG_JW	NMC	NMC240125		Maalaea Condos	2024-01-25	8:23	4	2	6	4	8					NMC240125	24.5	35.2	6.77	98.6	8.01	4.83	5.27	5.46	5.19	0.062				Y	2	0	0	Heavy rain last 2 weeks from 1/8-1/10 & 1/15-1/17. Ferry boat (Expeditions 4) stranded on reef about 50 yrds offshore & ~150 yrds from sample site. Small stream of fresh water flowing into ocean. Cloudy. Chilly West wind. 3 turtles 20ft from samplers.
yes	yes	yes	no	no	108	North Kihei	NMS	CK_LY	DG	KG_JW	NHP	NHP240125		Haycraft Park	2024-01-25	8:49	4	2	6	4	8					NHP240125	24.4	35.4	6.98	101.5	8.04	22.40	21.60	22.50	22.17	0.022				N	0	0	0	Heavy rain last 2 weeks from 1/8-1/10 & 1/15-1/17. Cloudy. Windy. Brown water out for ~100 yrds. Strong shorebreak ~2-3ft.
yes	yes	yes	yes	no	108	North Kihei	NMS	CK	DG	KG_JW	NKP	NKP240125		Kealia Pond	2024-01-25	9:35	4	2	6	4	8					NKP240125	24.4	35.7	7.08	103.1	8.09	7.43	7.48	7.28	7.40	0.014				N	0	1	0	Heavy rain last 2 weeks from 1/8-1/10 & 1/15-1/17. Consistent rain. Bucket lid was not used while raining. 1-2ft waves. 2 small dead reef fish washed up. Murky water (not brown). West wind. Lots of plant debris on beach and in water. 4 split nutrient samples were collected and evenly distributed: 2 to SOEST and 2 to UHMC WQ Lab. Rained hard while filtering syringes. 
yes	yes	yes	no	no	108	North Kihei	NMS	CK	DG	KG_JW	NKC	NKC240125		Kihei Canoe Club	2024-01-25	10:05	4	2	6	4	8					NKC240125	24.4	35.3	7.03	102.3	8.08	23.60	24.30	23.60	23.83	0.017				N	0	0	0	Heavy rain last 2 weeks from 1/8-1/10 & 1/15-1/17. Actively raining. Bucket lid used. Tons of plant debris and plastic on beach, in ocean, and in sample. Brown dark water. Large boat on sand 50ft to right (north) of site. Large plant pieces in turbidity vial. 
yes	yes	yes	no	no	109	North Kihei	NMS	LY	CK	AW_KG	NMH	NMH240215		Maalaea Harbor	2024-02-15	8:00	3	5	5	3	7					NMH240215	24.6	35.6	6.37	92.4	8.15	0.79	0.96	0.90	0.88	0.098				N	0	0	0	Parking lot area next to the breakwall has a large gap in the ground, looks like rebuilding. Read D.O. temperature 2x. 4th turbidity reading = 0.90. 
yes	yes	yes	no	no	109	North Kihei	NMS	LY	CK	AW_KG	NMC	NMC240215		Maalaea Condos	2024-02-15	8:30	3	5	5	3	7					NMC240215	24.6	35.1	6.50	94.5	8.06	2.63	2.59	2.52	2.58	0.022				N	0	0	0	Light wind. Flat water, no swell, calm water. Red algae on the beach. Partly cloudy.
yes	yes	yes	no	no	109	North Kihei	NMS	LY	CK	AW_KG	NHP	NHP240215		Haycraft Park	2024-02-15	8:52	3	5	5	3	7					NHP240215	24.9	35.3	6.56	96.0	8.10	10.70	11.30	10.40	10.80	0.042				N	2	0	0	Light brown / cloudy water nearshore for about 25ft. No wind. Flat, no swell, calm water. Sunny, hot. Small piece of red algae in bucket. Brown particulates in turbidity vial. 
yes	yes	yes	no	no	109	North Kihei	NMS	LY	CK	AW_KG	NKP	NKP240215		Kealia Pond	2024-02-15	9:25	3	5	5	3	7					NKP240215	24.5	35.8	6.72	98.1	8.14	1.79	1.66	1.65	1.70	0.046				N	0	4	0	Strong wind. 4th turbidity reading = 1.65. Mostly cloudy. Storm may be coming in. Flat, no swell, calm water. 1-2ft shorebreak, strong.
yes	yes	yes	no	no	109	North Kihei	NMS	LY	CK	AW_KG	NKC	NKC240215		Kihei Canoe Club	2024-02-15	9:50	3	5	5	3	7					NKC240215	25.0	35.7	6.79	99.8	8.11	36.10	34.10	34.80	35.00	0.029				N	0	2	0	Lots of sand in turbidity sample. Very brown water. 1-2ft shorebreak. Light wind. Cloudy. Water pooled in revene / culvert, not flowing into ocean, about a foot of sand blocking. Large boat beached just north of site. 
yes	yes	yes	no	no	109	North Kihei	NMS	LY	CK	AW_KG	NKN	NKN240215		Kalepolepo North	2024-02-15	10:15	3	5	5	3	7					NKN240215	24.4	34.7	6.46	93.3	8.01	6.56	7.28	7.88	7.24	0.091				N	1	4	0	Dizzling while sampling. Brown water nearshore. Cloudy. Windy. Kid swimming right next to sampling. Sand coastal errosion, about a 5ft sand cliff. 4th turbidity reading = 9.76. 5th turbidity reading = 6.56. 1ft shorebreak. Very light swell. 
yes	yes	yes	no	no	110	North Kihei	NMS	LY	DG_KG	HB_EJ	NMH	NMH240307		Maalaea Harbor	2024-03-07	8:00	4	2	6	4	9					NMH240307	23.0	36.3	6.49	92.1	8.06	2.71	3.14	2.88	2.91	0.074				N	0	0	0	Very windy, lots of white caps, rain last night, sunny, partly cloudy, 4th turbidity = 2.88, rained last night
yes	yes	yes	no	no	110	North Kihei	NMS	LY	DG_KG	HB_EJ	NMC	NMC240307		Maalaea Condos	2024-03-07	8:31	4	2	6	4	9					NMC240307	22.8	34.5	8.55	119.5	8.15	1.54	1.60	1.51	1.55	0.030				N	0	0	0	Very low tide with rocks exposed, green algae on rocks, algae in sample bucket, very windy, second reading of dissolved oxygen = 8.52 mg/L, 119.2%, 4th turbidity = 1.51, rained last night
yes	yes	yes	no	no	110	North Kihei	NMS	LY	DG_KG	HB_EJ	NHP	NHP240307		Haycraft Park	2024-03-07	9:03	4	2	6	4	9					NHP240307	23.3	35.6	6.63	94.1	8.09	1.24	1.75	1.43	1.47	0.175				N	0	10	2	windy, no swell/ flat, sunny, rained last night
yes	yes	yes	no	no	110	North Kihei	NMS	LY	DG_KG	HB_EJ	NKP	NKP240307		Kealia Pond	2024-03-07	9:40	4	2	6	4	9					NKP240307	23.6	36.9	6.93	99.6	8.14	1.26	1.22	1.24	1.24	0.016				N	0	4	0	Windy, 0.25 ft shorebreak, mostly clear, sunny, 2nd salinity read = 36.9, 4th turbidity = 1.24, rained last night
yes	yes	yes	no	no	110	North Kihei	NMS	LY	DG_KG	HB_EJ	NKC	NKC240307		Kihei Canoe Club	2024-03-07	9:55	4	2	6	4	9					NKC240307	24.2	36.3	6.80	98.3	8.06	11.40	14.10	16.60	14.03	0.185				N	0	0	0	Dark brown water at shore, beached boat removed from shoreline 1-2 weeks ago, sand seems replenished on beach, 4th turbidity = 16.6, windy but no white caps on shore, bug in sample bucket, rained last night
yes	yes	yes	no	no	110	North Kihei	NMS	LY	DG_KG	HB_EJ	NKN	NKN240307		Kalepolepo North	2024-03-07	10:22	4	2	6	4	9					NKN240307	24.4	31.7	7.05	99.9	8.07	13.10	12.90	11.20	12.40	0.084				N	0	4	0	Brown water, windy, murky, calm shorebreak, rained last night
yes	yes	yes	no	no	111	North Kihei	NMS	LY	DG	KG_JR	NMH	NMH240328		Maalaea Harbor	2024-03-28	8:00	3	5	5	3	7					NMH240328	23.5	35.8	6.58	93.9	8.13	1.39	1.26	1.39	1.35	0.056				N	0	0	0	Low tide at 11:27am. High winds. Mid-tide. 
yes	yes	yes	no	no	111	North Kihei	NMS	LY	DG	KG_JR	NMC	NMC240328		Maalaea Condos	2024-03-28	8:38	3	5	5	3	7					NMC240328	23.5	34.2	8.32	117.5	8.20	1.96	1.94	1.69	1.86	0.081				N	0	4	0	Low tide at 11:27am. High winds. Lots of limu. Smelt like a porta potty for second (dump truck). 4th turbidity reading = 1.96. Read DO temp 2nd time, values are all relatively the same. 
yes	yes	yes	no	no	111	North Kihei	NMS	LY	DG	KG_JR	NHP	NHP240328		Haycraft Park	2024-03-28	9:03	3	5	5	3	7					NHP240328	24.2	35.4	6.85	99.0	8.05	2.03	1.94	2.14	2.04	0.049				N	0	5	0	Low tide at 11:27am. Less windy than NMH & NMC. Partly cloudy.
yes	yes	yes	no	no	111	North Kihei	NMS	LY	DG	KG_JR	NKP	NKP240328		Kealia Pond	2024-03-28	9:41	3	5	5	3	7					NKP240328	24.3	36.5	7.03	102.1	8.17	1.63	1.68	1.67	1.66	0.016				N	0	7	0	Low tide at 11:27am. Relatively windy. Very small shorebreak (<1ft). 4th turbidity reading = 2.42. 5th turbidity reading = 1.67. 
yes	yes	yes	no	no	111	North Kihei	NMS	LY	DG	KG_JR	NKC	NKC240328		Kihei Canoe Club	2024-03-28	10:09	3	5	5	3	7					NKC240328	26.3	33.5	6.80	101.9	8.05	29.7	28.9	31.4	30.0	0.043				N	0	1	0	Low tide at 11:27am. Water visibly brown from shoreline to about 15ft out.
yes	yes	yes	no	no	111	North Kihei	NMS	LY	DG	KG_JR	NKN	NKN240328		Kalepolepo North	2024-03-28	10:31	3	5	5	3	7					NKN240328	26.2	32.2	6.94	101.9	8.11	11.2	14.0	12.7	12.6	0.111				N	0	3	0	Low tide at 11:27am. 3 turtles. Slightly brown. Light wind ~5ft out. Sunny, hot. 4th turbidity = 12.7. 
yes	yes	yes	no	no	112	North Kihei	NMS	CK	KG	HB	NMH	NMH240418		Maalaea Harbor	2024-04-18	8:02	4	2	5	4	10					NMH240418	23.9	36.3	6.63	95.6	8.15	1.35	1.28	1.36	1.33	0.033				N	0	0	0	Breezy. Relatively clear. Low tide. 4th turbidity reading = 1.28. 5th turbidity reading = 1.58. 6th turbidity reading = 1.36.
yes	yes	yes	no	no	112	North Kihei	NMS	CK	KG	HB	NMC	NMC240418		Maalaea Condos	2024-04-18	8:30	4	2	5	4	10					NMC240418	24.2	35.6	7.27	105.1	8.19	2.52	2.66	2.55	2.58	0.029				N	0	0	0	Sewer smell near parking lot. Some vegetation debris 50m out. 0.5ft shorebreak with 1-2ft offshore breaks. Low tide. Slightly breezy. A lot of limu on rocks. Small pool of water in the culvert. Read D.O. again, stayed consistent. 4th turbidity reading = 2.66. 5th turbidity reading = 2.27. 6th turbidity reading = 2.55.
yes	yes	yes	no	no	112	North Kihei	NMS	CK	KG	HB	NHP	NHP240418		Haycraft Park	2024-04-18	8:55	4	2	5	4	10					NHP240418	24.2	36.4	7.06	102.6	8.12	7.53	7.90	7.58	7.67	0.026				N	0	1	0	Sunny. Light breeze. Light brown water out 50yrds from the shore. 2ft swell offshore break & shorebreak. Smells like dead animal at car. 4th turbidity reading = 8.40. 5th turbidity reading = 7.90. 6th turbidity reading = 8.03.
yes	yes	yes	no	no	112	North Kihei	NMS	CK	KG	HB	NKP	NKP240418		Kealia Pond	2024-04-18	9:25	4	2	5	4	10					NKP240418	24.4	37.1	6.95	101.7	8.13	3.09	3.02	2.89	3.00	0.034				N	4	3	0	2-4ft shorebreak. Sunny. Light breeze. Family taking photos in the water 50ft to the right of the sample site. 4th turbidity reading = 3.09. 5th turbidity reading = 2.89. 
yes	yes	yes	no	no	112	North Kihei	NMS	CK	KG	HB	NKC	NKC240418		Kihei Canoe Club	2024-04-18	9:50	4	2	5	4	10					NKC240418	25.0	36.3	6.85	101.3	8.06	14.10	14.40	15.00	14.50	0.032				N	0	6	0	Very brown water. Sunny. Light breeze. 1-2ft swell. Culvert pooled up all the way with water. Pumping porta potty. 4th turbidity reading = 14.1. 3rd turbidity reading was 13.2. 
yes	yes	yes	no	no	112	North Kihei	NMS	CK	KG	HB	NKN	NKN240418		Kalepolepo North	2024-04-18	10:10	4	2	5	4	10					NKN240418	24.9	35.1	6.89	100.7	8.13	13.30	12.70	12.90	12.97	0.024				N	0	0	0	Beach pond full of water. Windy. Small white caps. 2-3ft waves on outer reef. 1-2ft shorebreak. 2 dogs running down the beach. 4th turbidity reading = 12.7. 5th turbidity reading = 12.9. 
